Назва файлу;Назви сторонніх підпрограм;Назви внутрішніх підпрограм
ak.for;ckpr2s, ckpr3s, ckpro, coor, defc2s, defc3s, defcu2, defcu3, defcue, defcuo, defor1, gkn, obrm33, prfm2s, prfm3s, prfmk, sigarm, sigdek, sigma3, sigmaterm, tran33, wpro;-
AKMG2.FOR;ckprog, gkng, wpro;-
ALPRO.FOR;obratm;-
ALPROS.FOR;obratm;-
brafm3.for;ckpr2s, ckpr3s, ckpro, coor, defc2s, defc3s, defcu2, defcu3, defcue, defcuo, defor1, gkn, obrm33, prfm2s, prfm3s, prfmk, sigdek, sigmaterm, tran33, wpro;-
CKCN.FOR;obrm33, tipck;-
CKPR2S.FOR;prfm2s;-
CKPR3S.FOR;prfm3s;-
CKPRO.FOR;prfmk;-
CKPROG.FOR;prfmks;-
coor.for;-;-
d.for;hagpo3, nnnst3, nuglob, parke, telos, zakrep;danpri, korcil
d1.for;hagpo3, nnnst3, nuglob, parke, telos, zakrep;danpri, korcil
d2.for;hagpo3, nnnst3, nuglob, parke, telos, zakrep;danpri, korcil
d3.for;hagpo3, nnnst3, nuglob, parke, telos, ukarpinos, zakrep;danpri, korcil
DEFC2S.FOR;defcu2;-
DEFC3S.FOR;defcu3;-
DEFCU2.FOR;-;-
DEFCU3.FOR;-;-
DEFCUE.FOR;-;-
DEFCUO.FOR;defcue;-
DEFOR1.FOR;-;-
FGAUS.FOR;-;-
FOLIM.FOR;obmsub;-
FOMAKR.FOR;akmg2, akofm3, alpros, ispmat, obmsub, pernum, pntpro, pnts, precil, qtep3, qvin3, qwin3;-
FOTEPQ.FOR;brafm3, pntpro, qtep3;-
FUN.FOR;-;-
FUN2.FOR;-;-
FUN3.FOR;-;-
FUNS.FOR;-;-
FUNSP.FOR;-;-
GALOA.FOR;rlim;-
GASAL.FOR;folim, remaq, rlim, strifq, wlim;-
GKN.FOR;obrm33;-
GKNG.FOR;obrm22;-
GRPRCK.FOR;-;-
HAGPO3.FOR;hapos3;-
HAPOS3.FOR;ckcn, gkn, nushab;-
IPRZAK.FOR;-;-
ISPMAT.FOR;-;-
KOS.FOR;-;-
main.for;darmir, galoa, gasal, nmakm, nmaq1, pecda3, preuci, prinke;-
NGRAN.FOR;-;-
NMAK1.FOR;alpro, fomakr;-
NMAKM.FOR;nmak1;-
NMAQ1.FOR;alpro, fotepq;-
NNNST3.FOR;pntpro;-
NUD.FOR;-;-
NUSHAB.FOR;-;-
OBMSUB.FOR;-;-
OBRATM.FOR;-;-
OBRM22.FOR;-;-
OBRM33.FOR;-;-
p.for;sigke3;-
PARKE.FOR;fgaus, ipamat;-
PECDA3.FOR;-;-
PERNUM.FOR;-;-
PNTPRO.FOR;-;-
PNTS.FOR;-;-
PRECIL.FOR;grprck;-
PREUCI.FOR;grprck;-
PRFM2S.FOR;-;-
PRFM3S.FOR;prfmsp;-
PRFMK.FOR;-;-
PRFMKS.FOR;-;-
PRFMSP.FOR;-;-
PRS.FOR;-;-
QTEP3.FOR;grprck;-
QVIN3.FOR;-;-
QWIN3.FOR;-;-
R.FOR;-;-
REMAQ.FOR;-;-
RLIM.FOR;obmsub;-
RMNLI.FOR;-;-
SIGDEK.FOR;-;-
sigk.for;alpro, ckpro, gkn, obrm33, pntpro, sigarm, sigdek, sigma3, tran33, wpro;-
sigterm.for;albe, uprucom;-
sigupr.for;kasat, obrm33, uprucom;albe
STRIFQ.FOR;-;-
STX.FOR;-;-
TELOS.FOR;-;-
teorii.for;-;-
TIPCK.FOR;-;-
TRAN33.FOR;-;-
upru.for;uabolinsh, uenerg, ukarpinos, ukasparov, uklastornio, uklastornir, uklastornis, ukristensen, usmesi, ustolyarova, uvanin, uvariaciam, uvariaciap;-
WLIM.FOR;obmsub;-
WPRO.FOR;-;-
ZAKREP.FOR;-;-
